TestcaseId,TestcaseType,Module,Description
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with all valid details.
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with PIN blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with PIN present and Serial number blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with voucher type blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with network code blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with external code blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with login id and password blank
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with only serial number present
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with only PIN present
,Negative,Voucher Query Request,To verify that Voucher Query Request is not successful with serial number invalid
,Negative,Voucher Query Request,To verify that Voucher Query Request is not successful with all blank
,Negative,Voucher Query Request,To verify that Voucher Query Request is not successful with network code invalid
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful without language 1
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful without language 2
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with Action Tag Present
,Positive,Voucher Query Request,To verify that Voucher Query Request is successful with Action Tag Absent
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for generated to enable
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for enable to stolen
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for print enabled to warehouse
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for warehouse to enabled
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for enabled to onhold
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for onhold to stolen
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is successful for onhold to enabled
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for enable to consume
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for stolen to enabled
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for stolen to PRINT enable
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for stolen to Warehouse.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for stolen to Onhold
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for stolen to generated.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for ONHOLD to generated.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for ONHOLD to PRINT enable
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for ONHOLD to Warehouse
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Enable to Generated
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Enable to WAREHOUSE
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Enable to Print Enable
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Warehouse to Generated
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Warehouse to Onhold
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Warehouse to Stolen.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Warehouse to Print Enable.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Print Enable to Enable.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Print Enable to STOLEN
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Print Enable to onhold.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for Print Enable to generated.
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for generated to print enable
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for generated to warehouse
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for generated to onhold
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for generated to stolen
,Positive,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for suspend  to enabled
,Negative,Voucher Status Change request,To verify that Voucher Status change  Request is not successful for suspend  to CONSUME
,Positive,Voucher Roll back request,To verify that Voucher Roll back  Request is successful with valid details
,Positive,Voucher Roll back request,To verify that Voucher Roll back  Request is successful if network code not present
,Positive,Voucher Roll back request,To verify that Voucher Roll back  Request is successful with all optional tags blank
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number invalid
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with network code invalid
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number not having status CU or UP
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status ST
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status EN
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status OH
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status GE
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status PE
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status WH
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status S
,Negative,Voucher Roll back request,To verify that Voucher Roll back  Request is not successful with serial number having status DA
