TestcaseId,TestcaseType,Module,Description
,Positive,USSD Channel to Channel Return,To verfiy C2C return is successful with valid MSISDN and PIN
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if receiver channel user is barred as receiver
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if sender channel user is barred as sender
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if TCP of sender is suspended.
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if TCP of receiver is suspended.
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if transfer rule is suspended.
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if receiver is insuspended.
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if sender is outsuspended.
,Positive,USSD Channel to Channel Return,To verify C2C Return is successful if product code is blank
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if Quantity is blank
,Positive,USSD Channel to Channel Return,To verify C2C Return is not successful if language code is invalid
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if MSISDN2 is blank
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if PIN is blank
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if PIN invalid
,Negative,USSD Channel to Channel Return,To verify C2C Return is not successful if topup value is negative
