TestCaseNo.,Description,Priority,Functionality,Release,Script,Tags,Start URL
TEST001,Given an application user try to login ,M,Login Management,Pretups6.3.3,testscripts/Login/Login.sah,P,
TEST002,Channel Domain Create Domain,M,Channel Domain Management,Pretups6.3.3,testscripts/Channel_Domain/Create_Domain.sah,P,
TEST003,User Management Create Network Admin,M,User Management,Pretups6.3.3,testscripts/User_Management/UserManagement_CreateNA.sah,P,
TEST004,User Management Create Create Channel Admin,M,User Management,Pretups6.3.3,testscripts/User_Management/UserManagement_CreateChannelAdmin.sah,P,
TEST005,Channel User Add Channel User,M,Channel User Management,Pretups6.3.3,testscripts/Channel_User/AddChannelUser.sah,P,
TEST006,Card Group Transfer C2C ,M,Card_Group C2S,Pretups6.3.3,testscripts/Card_Group/CardGroup_C2S.sah,P,
TEST007,Card Group Transfer P2P,M,Card_Group P2P,Pretups6.3.3,testscripts/Card_Group/CardGroup_P2P.sah,P,
TEST008,Card Group Transfer C2C ,M,Add View delete Card_Group C2S,Pretups6.3.3,testscripts/Card_Group/AddViewModifyDeleteC2SCardGroup.sah,P,
TEST009,Card Group Transfer C2C ,M,Add view delete Card_Group P2P,Pretups6.3.3,testscripts/Card_Group/AddViewModifyDeleteP2PCardGroup.sah,P,
TEST010,Checking transfer rule O2C,M,Transfer Rule Management,Pretups6.3.3,testscripts/Transfer_Rules/TransferRule_O2C.sah,P,
TEST011,Checking transfer rule C2C,M,Transfer Rule Management,Pretups6.3.3,testscripts/Transfer_Rules/TransferRule_C2C.sah,P,
TEST012,Checking transfer rule C2S,M,Transfer Rule Management,Pretups6.3.3,testscripts/Transfer_Rules/TransferRule_C2S.sah,P,
TEST013,Checking transfer rule P2P,M,Transfer Rule Management,Pretups6.3.3,testscripts/Transfer_Rules/TransferRule_P2P.sah,P,
TEST014,Network Stock ,M,Network_Stock,Pretups6.3.3,testscripts/Network_Stock/InitiateStock.sah,P,
TEST015,LMS,M,Loyality Stock,Pretups6.3.3,testscripts/LMS/InitiateAndApproveLoyalityPoint.sah,P,
TEST016,LMS,M,Loyality Administraton,Pretups6.3.3,testscripts/LMS/AddViewAndModifyItems.sah,P,
TEST017,LMS,M,Loyality Profile Management,Pretups6.3.3,testscripts/LMS/LoyalityProfileManagement.sah,P,
TEST018,Operator to Channel,M,OperatorToChannel,Pretups6.3.3,testscripts/OperatorToChannel/OperatorToChannel.sah,P,
TEST019,C2S Transfer ,M,C2S Transfer,Pretups6.3.3,testscripts/OperatorToChannel/C2STransfer.sah,P,
TEST020,C2C Transfer andWithdraw ,M,C2C Transfer And Withdrwaw,Pretups6.3.3,testscripts/Transaction/C2CTransfer.sah,P,
TEST021,Interface Management ,M,Add View and Modify Interface,Pretups6.3.3,testscripts/Interface_Management/AddViewInterface.sah,P,
TEST022,Interface Management ,M,Add View and Modify Service Class,Pretups6.3.3,testscripts/Interface_Management/AddServiceClass.sah,P,
TEST023,Interface Management ,M,Add View and Modify Interface,Pretups6.3.3,testscripts/Interface_Management/AddViewModifyInterface.sah,P,
TEST024,Interface Management ,M,Add View and Modify Service Class,Pretups6.3.3,testscripts/Interface_Management/AddViewModifyServiceClass.sah,P,
TEST025,Gegraphical Domain Zone,M,Add Zone,Pretups6.3.3,testscripts/Geographical_Domain/ZoneCreation.sah,P,
TEST026,Gegraphical Domain Area,M,Add Area,Pretups6.3.3,testscripts/Geographical_Domain/AreaCreation.sah,P,
TEST027,Gegraphical Domain SubArea,M,Add SubArea,Pretups6.3.3,testscripts/Geographical_Domain/SubAreaCreation.sah,P,
TEST028,Network Management,M,AddModify and view Network,Pretups6.3.3,testscripts/Network_Management/AddViewModifyNetwork.sah,P,
TEST029,Service Keyword,M,Add View and modify Service keyword ,Pretups6.3.3,testscripts/Service_Keyword/AddViewModifySeviceKeyword.sah,P,
TEST030,Division Mangement,M,Add and Modify new division,Pretups6.3.3,testscripts/DivisionAndDepartmentMgmt/AddModifyDivision.sah,P,
TEST031,Department Mangement,M,Add and Modify new department,Pretups6.3.3,testscripts/DivisionAndDepartmentMgmt/AddModifyDepartment.sah,P,
