Test Case Id,Description,Priority,Functionality,Release,Script,Tags,Start URL
TEST001,Card Group negaive test cases ,M,Card_Group,Pretups6.3.0,CardGroup/P2PCardGroup_Negative.sah,Y,
TEST002,Channel Domain negative test cases ,M,Channel_Domain,Pretups6.3.0,negative/Channel_Domain/Create_Category_Negative.sah,N,
TEST003,Channel Domain negative test cases ,M,Channel_Domain,Pretups6.3.0,negative/Channel_Domain/Create_Domain_Negative.sah,N,
TEST004,Channel Domain negative test cases ,M,Channel_Domain,Pretups6.3.0,negative/Channel_Domain/GradeMgmtNegative.sah,N,
TEST005,Login negative test cases,M,Login,Pretups6.3.0,negative/Login/Login_Negative.sah,N,
TEST006,Operator Users negative test cases,M,CreateChannelAdmin,Pretups6.3.0,negative/Operator_Users/CreateChannelAdmin_Negative.sah,N,
TEST007,Operator Users negative test cases,M,CreateCustomerCare,Pretups6.3.0,negative/Operator_Users/CreateCustomerCare_Negative.sah,N,
TEST008,Operator Users negative test cases,M,CreateNetworkAdmin,Pretups6.3.0,negative/Operator_Users/CreateNetworkAdmin_Negative.sah,N,
TEST009,Operator Users negative test cases,M,CreateSubSuperAdmin,Pretups6.3.0,negative/Operator_Users/CreateSubSuperAdmin.sah,N,
TEST010,Profile Management negative test cases,M,AddCategoryLevelTCP,Pretups6.3.0,negative/Profile_Management/AddCategoryLevelTCP_Negative.sah,N,
TEST011,Profile Management negative test cases,M,CreateCommisionProfile,Pretups6.3.0,negative/Profile_Management/CreateCommisionProfile_Negative.sah,N,
TEST012,Profile Management negative test cases,M,CreateTransferControlProfile,Pretups6.3.0,negative/Profile_Management/CreateTransferControlProfile_Negative.sah,N,
TEST013,Profile Management negative test cases,M,VarriableForProfileManagement,Pretups6.3.0,negative/Profile_Management/VarriableForProfileManagement_Negative.sah,N,
