TestCaseNo.,TestCase Description,Service Class Code,Service Class Name,Status,P2P Sender Allowed Status,P2P Sender denied Status,P2P receiver Allowed Status,P2P receiver denied Status,C2S receiver Allowed Status,C2S receiver denied Status,Assertion
TEST001,Given that super admin login into application and try to add service class without any details ,,,,,,,,,,Service class code is required.
TEST002,Given that super admin login into application and try to add service class without service class code,,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code is required.
TEST003,Given that super admin login into application and try to add service class without service class name,SERVCODE,,Active,Yes,No,Yes,No,Yes ,No,Service class name is required.
TEST004,Given that super admin login into application and try to add service class without status,SERVCODE,ClassTest,,Yes,No,Yes,No,Yes ,No,Status is required.
TEST005,Given that super admin login into application and try to add service class without P2P Sender allowed status,SERVCODE,ClassTest,Active,,No,Yes,No,Yes ,No,P2P sender allowed status is required.
TEST006,Given that super admin login into application and try to add service class without P2P receiver allowed status,SERVCODE,ClassTest,Active,Yes,No,,No,Yes ,No,P2P receiver allowed status is required.
TEST007,Given that super admin login into application and try to add service class without C2S receiver allowed status,SERVCODE,ClassTest,Active,Yes,No,Yes,No,,No,C2S receiver allowed status is required.
TEST008,Try to add service class with a service code having more than one word,SERV CODE,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST009,Try to add service class with a service code consist of only special charactor,^%^%^%**&,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST010,Try to add service class with a service code containg one or more charactor,SERV@CODE,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST011,Try to add service class with a service code having more than one spaces,SE CO DE,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST012,Try to add service class with a service code as negative number,-1000,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST013,Try to add service class with a service code as decimal number,0.01,ClassTest,Active,Yes,No,Yes,No,Yes ,No,Service class code should be alphanumeric single word.
TEST014,Try to submit  P2P sender allowed status values saperated  by double comma,SERVCODE,ClassTest,Active,"Yes ,, No",No,Yes,No,Yes ,No,In P2P sender allowed status field blank value is not allowed between commas.
TEST015,Try to submit  P2P sender denied status values saperated  by double comma,SERVCODE,ClassTest,Active,Yes,"No ,, Yes",Yes,No,Yes ,No,In P2P sender denied status field blank value is not allowed between commas.
