TestCaseNo.,TestCase Description,Service Name,Gateway Code,Min Transfer,Max Tra.,Applicable from,ApplicableTo,TimeSlab,startRange,endRange,commRate,DiffFact.,tax1Rate,tax2Rate,Assertion
TEST001,Given that a network admin try to add addition commision profile without giving any details,,,,,,,,,,,,,,Service is required.
TEST002,Given that a network admin try to add addition commision profile without giving service,,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,1,1,1,Service is required.
TEST003,Given that a network admin try to add addition commision profile without giving Gateway Code,Customer Recharge,,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,1,1,1,Gateway code is required.
TEST004,Given that a network admin try to add addition commision profile without giving Min transfer  amt,Customer Recharge,EXTGW,,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,1,1,1,Min. transfer value is required.
TEST005,Given that a network admin try to add addition commision profile without giving Max transfer amt,Customer Recharge,EXTGW,1,,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,1,1,1,Max. transfer value is required.
TEST006,Given that a network admin try to add addition commision profile without giving any slab details,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,,,,,,,At least one slab entry is required
TEST007,Given that a network admin try to add addition commision profile without giving start range,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,,1000,1,1,1,1,At least one slab entry is required
TEST008,Given that a network admin try to add addition commision profile without giving to range,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,,1,1,1,1,To range is required of slab 1
TEST009,Given that a network admin try to add addition commision profile without giving commission rate,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,,1,1,1,Commission Rate is required of slab 1
TEST010,Given that a network admin try to add addition commision profile without giving to diff factor,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,,1,1,Diffrential factor 1 is required of slab 
TEST011,Given that a network admin try to add addition commision profile without giving to tax 1 rate,Customer Recharge,EXTGW,1,1000,12-12-2016,16-12-2016,10:00-11:00,1,1000,1,1,,1,Taxes Tax1 rate is required of slab 1
