TestCaseNo.,TestCase Discription,Profile Name,Short Name,Discription,Post eTopUp Min,Post eTopUp Max,C2S Min,C2S Max,Alerting Balance,Ald. Max prct.,VoucherTracking Min,VoucherTracking Max,C2S Min,C2S Max,Alerting Balance,Ald. Max prct.,eTopUp Min,eTopUp Max,C2S Min,C2S Max,eTopUp Alerting ,Ald. Max pct,Assertion Message
TEST001, Try to submit without giving any details,,,,,,,,,,,,,,,,,,,,,,Profile name is required.
TEST002,Try to submit without profile name,,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Profile name is required.
TEST003,Try to submit without short name,Testing,,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Short name is required.
TEST004,Try to submit without description,Testing,AB,,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Description is required.
TEST005,Try to submit without minimum post etopup,Testing,AB,Category TCP,,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Minimum residual balance is required for product Post eTopUP
TEST006,Try to submit without maximum post etopup,Testing,AB,Category TCP,1,,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Maximum balance is required for product Post eTopUP
TEST007,Try to submit without C2S Minimum,Testing,AB,Category TCP,1,1000000,,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Per C2S transaction minimum amount is required for product Post eTopUP
TEST008,Try to submit without C2S Maximum,Testing,AB,Category TCP,1,1000000,10,,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Per C2S transaction maximum amount is required for product Post eTopUP
TEST009,Try to submit without alerting balance,Testing,AB,Category TCP,1,1000000,10,1000,,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Alerting balance is required for product Post eTopUP
TEST010,Try to submit without allowed max PCT,Testing,AB,Category TCP,1,1000000,10,1000,100,,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Allowed Max. percentage is required for product Post eTopUP
TEST011,Try to submit without minumin eTopUP,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,,1000000,10,1000,100,100,Minimum residual balance is required for product eTopUP
TEST012,Try to submit without maximum eTopUP,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,,10,1000,100,100,Maximum balance is required for product eTopUP
TEST013,Try to submit without minimum C2S amount,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,,1000,100,100,Per C2S transaction minimum amount is required for product eTopUP
TEST014,Try to submit without maximum C2S amount,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,,100,100,Per C2S transaction maximum amount is required for product eTopUP
TEST015,Try to submit without Alerting balance,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,,100,Alerting balance is required for product eTopUP
TEST016,Try to submit without eTopUp allowed Pct. ,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,,Allowed Max. percentage is required for product eTopUP
TEST017,Try to submit without daily transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in count is required.
TEST018,Try to submit without daily transfer in alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in alerting count is required.
TEST019,Try to submit without daily transfer in value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in value is required.
TEST020,Try to submit without daily transfer in alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in alerting value is required.
TEST021,Try to submit without daily channel transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's daily transfer out count is required.
TEST022,Try to submit without daily chanel transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's daily transfer out alerting count is required.
TEST023,Try to submit without daily channel transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's daily transfer out value is required.
TEST024,Try to submit without daily channel transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's daily transfer out alerting value is required.
TEST025,Try to submit without daily subscriber transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer out count is required.
TEST026,Try to submit without daily subscriber transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer out alerting count is required.
TEST027,Try to submit without daily subscriber transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer out value is required.
TEST028,Try to submit without daily subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer out alerting value is required.
TEST029,Try to submit without daily subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer in count is required.
TEST030,Try to submit without daily subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer in alerting count is required.
TEST031,Try to submit without daily subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer in value is required.
TEST032,Try to submit without daily subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's daily transfer in alerting value is required.
TEST033,Try to submit without weekly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Weekly transfer in count is required.
TEST034,Try to submit without weekly transfer in alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Weekly transfer in alerting count is required.
TEST035,Try to submit without weekly transfer in value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Weekly transfer in value is required.
TEST036,Try to submit without weekly transfer in alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Weekly transfer in alerting value is required.
TEST037,Try to submit without weekly channel transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's weekly transfer out count is required.
TEST038,Try to submit without weekly channel transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's weekly transfer out alerting count is required.
TEST039,Try to submit without weekly channel transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's weekly transfer out value is required.
TEST040,Try to submit without weekly channel transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's weekly transfer out alerting value is required.
TEST041,Try to submit without weekly subscriber transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer out count is required.
