TestCaseNo.,Test Case Discription ,Service Type,Sub Service,Card Grop Set Name,Applicable Date,Applicable Time,Card Gropu Code,Start Range,End Range,Validity Days,Grace Period,Multiple of,Sender tax1,Sender tax2,Sender fee rate,Sender Min Amount,Sender Max Amount,Sender Conversion Factor,Receiver Rate1,Receiver Rate2,ProcessingFee Rate,Receiver Min Amt.,Receiver Max Amt.,Reciever Conversion factor,Bonuns Bundle value,Bonus validity,Bonus Conversing factor,Bonus Validity Days,Assertion
TEST001,Try to submit without card group set name,Adhoc RechargeREG,Voice,,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,P2P card group set name is required.
TEST002,Try to submit without applicable time,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Applicable time is required.
TEST003,Try to submit without  card group code,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,,10,1000,30,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Card group code is required.
TEST004,Try to submit without  Start range,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,,1000,30,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Start range is required.
TEST005,Try to submit without end range,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,,30,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,End range is required.
TEST006,Try to submit without validity days,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,,10,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Validity Days is required
TEST007,Try to submit without grace period,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,,1,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Grace period is required.
TEST008,Try to submit without multiple of value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,,1,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Multiple of is required.
TEST009,Try to submit without sendar tax 1 rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,,1,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Sender Tax 1 Rate is required
TEST010,Try to submit without sender tax 2 rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,,1,1,100,1,1,1,7,1,100,1,10,7,1,7,Sender Tax 2 Rate is required
TEST011,Try to submit without sender processing fee rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,,1,100,1,1,1,7,1,100,1,10,7,1,7,Sender Processing fee Rate is required
TEST012,Try to submit without sender proc.  Min amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,,100,1,1,1,7,1,100,1,10,7,1,7,Sender Processing fee Min. amount is required
TEST013,Try to submit without sender proc.  max amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,,1,1,1,7,1,100,1,10,7,1,7,Sender Processing fee Max. amount is required
TEST014,Try to submit without sender conv factor,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,,1,1,7,1,100,1,10,7,1,7,Sender Conversion factor is required.
TEST015,Try to submit without receiver  tax 1 rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,,1,7,1,100,1,10,7,1,7,Receiver Tax 1 Rate is required
TEST016,Try to submit without receiver tax 2 rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,,7,1,100,1,10,7,1,7,Receiver Tax 2 Rate is required
TEST017,Try to submit without receiver processing fee rate,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,,1,100,1,10,7,1,7,Receiver Processing fee Rate is required
TEST018,Try to submit without receiver proc.  Min amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,,100,1,10,7,1,7,Receiver Processing fee Min. amount is required
TEST019,Try to submit without receiver proc.  max amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,,1,10,7,1,7,Receiver Processing fee Max. amount is required
TEST020,Try to submit without receiver conv factor,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,,10,7,1,7,Receiver Conversion factor is required.
TEST021,Try to submit without bonus bundle value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,,7,1,7,Bonus VG value is required.
TEST022,Try to submit without bonus bundle validity,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,,1,7,Bonus VG validity is required.
TEST023,Try to submit without bonus bundle conv factor,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,,7,Bonus VG conversion factor is required.
TEST024,Try to submit without bonus bundle validity days,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,,Bonus Validity days is required
TEST025,Try to submit applicable time as alphabet,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,ABCDE,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST026,Try to submit applicable time more than 23:59,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,25:26i,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST027,Try to submit applicable time a decimal ,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,0.086805556,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST028,Try to submit applicable time a  number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,1001,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST029,Try to submit apllicable time as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,#VALUE!,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST030,Try to submit apllicable time as positive number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,+10:1,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST031,Try to submit apllicable time as local format,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,14.12,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Applicable time is not a valid time
TEST032,Try to submit start range as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,-10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Start range should be greater than or equal to 0
TEST033,Try to submit end range as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,-1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,End range should be greater than or equal to start range
TEST034,Try to submit start range more than end range,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,1000,10,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,End range should be greater than or equal to start range
TEST035,Try to submit start range as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,ABCD,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Start range should be numeric
TEST036,Try to submit end range as set of charactor,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,ABCD,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,End range should be numeric
TEST037,Try to submit validity as number of day,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30 Day,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Validity Days should be a numeric and whole number value
TEST038,Try to submit validity as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,-30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Validity days should be greater than or equal to 0
TEST039,Try to submit validity day as fractional value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,1.5,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Validity Days should be a numeric and whole number value
TEST040,Try to submit grace period as number of day,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,-30,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Grace period should be greater than or equal to 0
TEST041,Try to submit grace period as fractional value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,1.5,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Grace period should be a numeric and whole number value
TEST042,Try to submit grace period as fractional value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,30 Day,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Grace period should be a numeric and whole number value
TEST043,Try to submit multiple of as set of charactor,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,AA,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Multiple of should be a numeric and whole number value
TEST044,Try to submit multiple of as percentage ,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,2%,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Multiple of should be a numeric and whole number value
TEST045,Try to submit multiple of as negative value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,-1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Multiple of should be greater than 0
TEST046,Try to submit sender tax 1 rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,AA,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 1 Rate should be numeric
TEST047,Try to submit sender tax 1 rate as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,-1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 1 rate should be in between 0 and 100
TEST048,Try to submit  sender tax 1 rate more than 100 ,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,101,1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 1 rate should be in between 0 and 100
TEST049,Try to submit sender tax 2 rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,A,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 2 Rate should be numeric
TEST050,Try to submit sender tax 2 rate as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,-1,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 2 rate should be in between 0 and 100
TEST051,Try to submit  sender tax 2 rate more than 100 ,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,110,1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Tax 2 rate should be in between 0 and 100
TEST052,Try to submit sender processing rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,AB,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender Processing fee Rate should be numeric
TEST053,Try to submit sender processig rate as negative,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,-1,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender processing fee rate should be in between 0 and 100
TEST054,Try to submit sender processing rate more than 100,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,110,1,100,1,1,1,1,1,100,1,10,7,1,7,Sender processing fee rate should be in between 0 and 100
TEST055,Try to submit  sender min processing amout as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,AA,100,1,1,1,1,1,100,1,10,7,1,7,Sender Processing fee Min. amount should be numeric
TEST056,Try to submit sender min amount more than maximum,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1000,1,1,1,1,1,1,100,1,10,7,1,7,Sender processing fee Max. amount should be greater than or equal to sender processing fee Min. amount and less then equal to 1000 (End Range)
TEST057,Try to submit sender maximum amout as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,AAAA,1,1,1,1,1,100,1,10,7,1,7,Sender Processing fee Max. amount should be numeric
TEST058,Try to submit conversing factor as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,AA,1,1,1,1,100,1,10,7,1,7,Sender Conversion factor should be numeric.
