TestCaseNo.,DailyInCount,DailyInAltCount,DailyInValue,DailyInAltValue,DailyOutCount,DailyOutAltCount,DailyOutValue,DailyOutAltValue,DailySubscriberOutCount,DailySubscriberOutAltCount,DailySubscriberOutValue,DailySubscriberOutAltValue,DailySubscriberInCount,DailySubscriberInAltCount,DailySubscriberInValue,DailySubscriberInAltValue,WeeklyInCount,WeeklyInAltCount,WeeklyInValue,WeeklyInAltValue,WeeklyOutCount,WeeklyOutAltCount,WeeklyOutValue,WeeklyOutAltValue,WeeklySubscriberOutCount,WeeklySubscriberOutAltCount,WeeklySubscriberOutValue,WeeklySubscriberOutAltValue,WeeklySubscriberOutCount,WeeklySubscriberOutAltCount,WeeklySubscriberOutValue,WeeklySubscriberOutAltValue,MonthlyInCount,MonthlyInAltCount,MonthlyInValue,MonthlyInAltValue,MonthlyOutCount,MonthlyOutAltCount,MonthlyOutValue,MonthlyOutAltValue,MonthlySubscriberOutCount,MonthlySubscriberOutAltCount,MonthlySubscriberOutValue,MonthlySubscriberOutAltValue,MonthlySubscriberInCount,MonthlySubscriberInAltCount,MonthlySubscriberInValue,MonthlySubscriberInAltValue
TEST001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST002,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST003,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST004,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST005,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST006,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST007,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST008,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST009,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
TEST010,100,90,10000,100,100,90,10000,100,100,90,10000,100,100,90,10000,100,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,1000,990,10000,1000,10000,9900,100000,10000,10000,9900,100000,10000,10000,9900,100000,10000,1000,9900,100000,10000
