TestCaseNo. ,Discription,MSISDN ,Remarks,Assertion
TEST001,Verify that channel admin can reset the password of channel user in the system ,7233333333,Reset password of channel user,User password is reset successfully.
TEST002,Verify that channel admin loggin into application and try to resend pwd of channel user,7233333333,Resend password of channel user,Password is sent successfully.
TEST003,Verify that Sumbit button over there while going to reset of resend the pwd of channel user,,,
TEST004,Verify that MSISDN is required while going to reset/resend the pwd of channel user,,Resend pwd of channel user,Enter search value
TEST005,Verify that remarks is required while going to reset/resend the pwd of channel user,7233333333,,Remarks Required
TEST006,Verify that application will throw an error message while you entered the invalid MSISDN in system,72,,Invalid MSISDN
TEST007,"Suppose, you entered a number which is not registered as channel user, then it should display error msg ",7200000099,Resend pwd of channel user,User details not found for mobile number
TEST008,"Verify that channel admin cant reset/resend the pwd of user, which is not supported by network",1000000000,Resend pwd of channel user,User details not found for mobile number
TEST009,Verify the functionality of back button on user Mgmt confirm page,7233333333,Resend pwd of channel user,
TEST010,Verify the functionality of cancel button on User pwd mgmt confirm page,7233333333,Resend pwd of channel user,
TEST011,Verify that channe admin loggin into application and unblocked the pwd of channel user,7233333333,unblock the password,not blocked.
