Link
Operator to channel
Masters
Withdrawal
P2P subscriber
Restricted list Mgmt.
P2P reports
Channel user
Operator users
Channel user transfer
ICCID/IMSI key management
Channel reports-user
Access control Mgmt.
Channel reports-O2C
Download reports
Channel reports-C2C
Channel reports-C2S
Channel enquiry
Voucher reports
C2S transfer
Subscriber retailer mapping
Channel reports - Summary
Voucher Download
User Movement
IAT restricted list Mgmt.
IAT batch rechrage Mgmt.
Forceful LMB Settlement
Transaction Reverse
LMB Reports
LMB Enquiries
Loyalty Management
LMS Reports
