Masters,Network product map,Preferences,Profile management,Operator users,P2P reports,Card group,Network stock,ICCID/IMSI key management,Transfer rules,STK services,Promotional transfer rule,Channel reports-user,Access control Mgmt.,Download reports,IAT network country mapping,Voucher enquiry,Voucher reports,Reconciliation,Bonus bundle management,Message Management,Service Product Interface Mapping,COS Management,Cell Id Management,Service Group Management,Service type product mapping ,Loyalty Management,Loyalty Administration
Geographical domain management,Network product mapping,Network preference,Commission profile,Add operator user,View P2P transfer rules,Add P2P card group,Initiate stock transaction,Upload & process ICCID/IMSI key,Add P2P transfer rules,Assign services,Add promotional transfer rule,Internal user roles report,User password Mgmt.,C2S download reports,Add IAT network country mapping,Voucher enquiry,Voucher reconciliation report,Reconcilation interface wise,Manage bonus bundle,Messages Management,Add Product Interface Mapping,Define COS,Manage Cell Group,Manage Service Group,Add product,Loyalty profile management,ADD Items
Network services,,Service class preferences,Commission profile status,Modify operator user,,Modify P2P card group,Level one stock approval,Upload & process ICCID/IMSI MSISDN,Modify P2P transfer rules,,Modify promotional transfer rule,External user roles report,PIN/Password history report,Download file,Modify/Delete IAT network country mapping,PIN enquiry,Voucher availability,C2S reconciliation,,Message Management,Modify Product Interface Mapping,Manage COS,Cell Id Associate,Service association,Modify product,Approve Loyalty Profile,Modify/Delete Items
Network prefix,,Control preferences,Transfer control profile,View/Edit user,,Calculate P2P transfer value,Level two stock approval,Associate MSISDN with ICCID/IMSI,View P2P transfer rules,,View promotional transfer rule,,,Download KPI files,,,,C2S reconciliation report,,,View Product Interface Mapping,,Cell Id Re-Associate,Service re-association,View product,Resume Promotion,View Items
Network status,,,Activation bonus profile,Batch operator user initiate,,P2P card group status,View stock transactions,Correct MSISDN ICCID/IMSI mapping,Batch P2P transfer rules creation,,Add batch promotional transfer rule,,,,,,,C2S reconciled case report,,,,,,,Delete product,Message Configuration,
View network,,,Batch Add Commission Profile,Operator user approval,,View P2P card group,View current stock,ICCID/IMSI MSISDN enquiry,Add C2S transfer rules,,,,,,,,,P2P reconciliation,,,,,,,Modify product order,,
Geography cell-id management,,,Batch modify commission profile,View operator user,,Add C2S card group,Initiate stock deduction,ICCID/IMSI MSISDN history,Modify C2S transfer rules,,,,,,,,,P2P reconciliation report,,,,,,,,,
Network interfaces,,,User default configuration management,View self details,,Calculate C2S transfer value,Approval-1 stock deduction,ICCID/IMSI MSISDN association,View C2S transfer rules,,,,,,,,,P2P reconciled case report,,,,,,,,,
Interface prefix,,,,Batch operator user delete,,Modify C2S card group,,ICCID/IMSI delete,Associate C2C transfer rule,,,,,,,,,LMB Reconcilliation Report,,,,,,,,,
Service prefix mapping,,,,,,C2S card group status,,,Associate O2C transfer rule,,,,,,,,,LMB Recharge Reconciled Cases,,,,,,,,,
Update cache,,,,,,View C2S card group,,,Batch C2S transfer rules creation-modification,,,,,,,,,LMB Recharge Reconciliation,,,,,,,,,
Update SIM TXN ID,,,,,,Batch modify C2S card group ,,,Initiate O2C Transfer Rule,,,,,,,,,LMB Settlement Cases,,,,,,,,,
Slab management,,,,,,Batch modify P2P card group ,,,O2C Transfer Rule Approval,,,,,,,,,LMB Settlement Reconciliation,,,,,,,,,
Network VAS mapping,,,,,,Default C2S card group,,,Initiate C2C Transfer Rule,,,,,,,,,,,,,,,,,,
Bulk Upload TXN ID,,,,,,Default P2P card group,,,C2C Transfer Rule Approval,,,,,,,,,,,,,,,,,,
Service Type Selector Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Wallet Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,
